ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.dummy
29628,1,1,0,1,0,2,1,0,0,0,0,0,2,0,1,0,0,2,1,0,1
48046,1,1,0,2,0,2,1,0,2,1,0,0,0,0,0,0,0,1,1,1,0
48690,0,0,1,1,1,1,1,0,1,1,1,0,2,0,0,0,1,0,1,0,1
2130,1,1,1,0,1,0,0,0,2,0,1,0,0,1,0,1,0,2,1,1,0
34531,0,0,1,1,0,0,0,1,2,1,0,0,1,0,2,1,2,0,0,2,1
21189,1,0,2,2,0,0,1,2,1,1,1,0,0,0,0,0,1,1,1,1,1
10472,1,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,2,1,1,1
49596,0,0,2,1,1,0,2,2,1,0,1,1,2,0,0,1,1,1,1,1,0
30014,0,0,1,2,1,0,2,0,2,0,0,0,0,0,2,0,1,0,1,1,0
1078,0,1,0,0,1,0,2,1,2,0,1,0,1,0,0,0,2,0,0,0,1
46086,0,0,1,0,1,1,2,2,0,1,1,1,1,0,0,1,1,0,0,0,1
7552,0,0,2,0,0,2,2,0,1,0,1,0,1,1,2,1,0,0,1,1,1
40193,0,1,1,0,1,0,0,1,2,1,0,0,1,1,0,1,1,0,1,1,0
34193,0,1,1,0,0,2,0,0,1,0,1,1,2,1,2,0,2,0,1,1,0
22447,1,0,0,0,1,1,2,1,0,1,0,1,0,1,0,1,0,0,1,2,0
16780,0,0,1,1,1,1,0,1,1,0,0,0,2,0,1,0,2,1,1,1,0
44205,0,0,2,1,0,1,2,1,0,1,0,0,0,1,0,0,2,0,1,1,0
7640,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,0,1,2,1,1,1
10308,1,0,0,2,1,1,0,2,0,1,0,0,2,0,0,0,2,2,1,2,0
21187,0,0,2,1,1,2,2,1,2,1,1,0,0,0,1,0,1,2,0,1,0
38856,0,1,1,2,0,0,2,2,1,1,1,1,2,1,2,1,0,2,1,1,0
46104,1,1,2,1,0,2,1,0,0,0,1,0,2,0,1,1,2,1,1,0,1
39708,0,0,1,0,0,2,0,1,0,0,1,0,1,1,1,0,2,1,1,1,1
5065,0,0,2,0,0,0,0,2,1,1,1,1,2,1,0,0,1,2,0,1,1
26014,1,1,0,2,0,1,1,2,0,1,1,0,0,1,1,1,0,2,1,0,1
45837,0,1,0,1,1,0,0,0,2,0,1,0,1,0,1,0,2,2,0,1,1
1268,1,1,1,2,1,0,1,2,1,1,0,1,0,0,0,1,0,2,1,2,1
26314,0,0,2,1,0,1,0,0,2,0,1,1,2,1,1,0,0,0,1,0,1
