ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.U,v.V,v.W,v.X,v.Y,v.Z,v.AA,v.AB,v.AC,v.AD,v.AE,v.AF,v.AG,v.AH,v.AI,v.AJ,v.AK,v.AL,v.AM,v.AN,v.AO,v.AP,v.AQ,v.AR,v.AS,v.AT,v.AU,v.AV,v.AW,v.AX,v.AY,v.AZ,v.BA,v.BB,v.BC,v.BD,v.BE,v.BF,v.BG,v.BH,v.BI,v.BJ,v.BK,v.BL,v.BM,v.BN,v.BO,v.BP,v.BQ,v.BR,v.BS,v.BT,v.BU,v.BV,v.BW,v.BX,v.BY,v.BZ,v.CA,v.CB,v.CC,v.CD,v.CE,v.CF,v.CG,v.CH,v.CI,v.CJ,v.CK,v.CL,v.CM,v.CN,v.CO,v.CP,v.CQ,v.CR,v.CS,v.CT,v.CU,v.CV,v.dummy
7698,1,1,0,2,0,0,1,1,0,1,0,0,1,0,2,0,1,0,0,2,2,0,1,0,0,1,1,1,2,0,0,2,1,0,2,2,0,0,1,1,2,1,2,0,1,1,1,0,1,2,1,2,0,0,1,1,1,0,2,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,2,1,0,0,0,1,1,1,2,0,2,0,0,1,1,0,0,1,0,1,0,1,2,0,0
31341,1,0,1,0,1,0,0,2,2,0,1,1,1,0,2,0,1,2,0,1,1,0,0,1,0,0,0,0,2,1,0,2,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,2,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,2,1,1,0,1,1,1,1,1,2,1,0,2,0,0,2,1,0,1,0,0,0,1,2,0,2,0,1,0,1,0,0
41238,0,0,2,2,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,2,1,2,0,0,0,1,0,0,1,1,1,1,1,0,0,2,1,1,0,1,2,1,1,1,2,0,0,1,1,0,0,0,1,1,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,1,2,1,0,2,0,0,1,0,1,1,0,1,1,2,2,0,0,1,1,1
48689,0,0,0,0,1,0,0,1,2,1,0,0,2,0,2,1,2,1,0,2,0,1,2,1,0,0,1,0,1,0,0,2,0,0,1,2,2,1,2,0,0,2,2,2,1,1,1,1,2,1,0,1,0,1,0,1,0,1,1,0,2,0,0,1,0,0,1,2,0,2,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,2,0,1,1,0,0
28979,1,0,1,1,1,1,0,0,2,1,0,0,1,1,2,1,0,1,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,0,0,1,2,0,2,2,2,1,1,0,0,1,1,2,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,2,0,0,1,2,1,0,0,1,0,0,2,1,0,1,1,1,2,0,1,1,1,0,0,1,0,2,0,2,1,0,1,0,1
1292,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,2,1,0,1,0,1,2,1,0,1,1,0,2,1,1,1,0,0,1,1,2,0,2,0,1,1,2,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,1,1,1,2,1,1,1,2,0,0,0,1,0,1,1,1,0,2,1,1,1,1,0,1,1,0,0,0,1,0,2,1,1,0,1,1,1
35006,0,1,2,0,0,1,0,2,1,1,0,0,0,0,0,1,0,2,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,2,0,0,1,0,1,1,0,2,2,2,0,1,1,1,0,1,2,1,0,0,0,1,2,0,1,0,1,1,1,1,0,0,2,0,2,1,2,0,0,1,0,1,0,2,1,1,0,0,1,0,0,2,1,0,0,1,0,2,2,0,0,1,0,2,0,0
20001,1,1,2,1,1,2,0,0,1,1,0,0,0,1,1,1,0,2,0,1,2,1,0,1,0,0,0,1,1,0,1,2,1,1,0,1,0,1,0,1,2,1,2,2,1,1,1,1,2,0,1,2,0,1,0,0,0,2,0,0,2,0,1,0,0,1,0,1,0,2,1,0,0,0,1,1,2,0,0,2,0,1,1,0,2,1,2,1,0,0,0,0,2,1,0,1,0,1,1,0,1
48713,0,1,2,1,0,0,0,2,2,0,1,0,2,0,2,1,1,1,1,0,1,0,0,0,0,1,1,0,2,1,1,2,1,1,2,2,0,0,1,1,1,1,1,1,2,0,0,0,1,0,0,0,1,0,0,1,0,2,1,0,1,1,0,1,0,1,1,0,0,2,1,1,1,1,1,1,0,1,2,0,1,0,1,0,1,0,1,0,1,0,0,0,1,2,0,2,0,1,1,2,0
2194,1,1,0,0,1,2,2,1,0,0,1,1,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,1,1,2,0,1,1,0,1,2,2,0,0,2,1,0,2,2,0,2,1,0,1,0,0,1,1,0,2,0,1,0,2,1,1,0,0,1,0,2,1,1,0,1,2,0,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,1
