ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.dummy
36469,0,1,2,1,1,0,1,2,1,1,1,0,2,0,1,0,0,0,0,0,1
20085,1,1,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0
15822,1,1,2,1,1,2,1,2,2,1,0,0,2,0,2,1,1,1,1,0,1
41158,1,0,0,2,0,2,2,0,1,0,0,0,0,1,1,0,0,0,1,2,0
26781,0,1,1,1,0,2,2,2,0,1,0,0,0,1,2,1,0,0,0,0,1
37034,0,0,1,2,1,2,2,2,1,0,1,1,0,1,1,1,0,1,1,1,1
42595,0,1,1,0,0,0,2,0,2,0,0,0,0,1,2,1,2,1,0,1,0
130,0,0,2,0,1,0,1,0,2,1,1,1,2,0,2,1,2,1,0,0,1
10912,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,1,1,1
24229,1,0,2,0,1,1,1,1,2,0,1,0,0,0,2,0,2,0,0,0,1
15277,0,0,1,0,0,1,2,0,2,1,1,0,2,1,0,1,0,1,0,2,1
3426,0,0,0,1,0,0,2,1,0,0,1,1,0,1,2,0,0,2,1,0,1
46021,0,0,1,0,0,0,2,2,1,1,0,1,1,1,2,0,2,1,0,2,1
20293,1,0,1,1,1,2,1,1,2,0,0,1,2,1,0,0,0,1,0,0,0
18468,0,1,1,0,0,2,0,2,0,0,0,0,1,1,0,1,2,0,1,2,1
24145,0,0,2,2,0,1,1,1,0,0,0,0,1,1,1,0,2,0,1,1,1
11613,1,1,0,0,1,2,2,1,2,0,1,1,0,0,0,1,0,1,1,0,0
12647,0,1,0,2,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,2,0
37861,1,0,1,2,1,2,2,0,0,0,0,1,2,1,2,1,0,1,0,2,1
24801,1,1,0,0,1,2,1,1,2,1,1,1,0,1,2,0,2,2,0,0,1
27087,0,0,2,2,1,1,0,0,2,1,0,1,2,1,0,1,2,1,0,2,1
39458,1,1,1,0,1,2,1,2,2,0,1,0,1,0,1,0,2,2,1,0,0
46223,1,1,1,1,0,1,0,1,2,1,1,1,2,1,1,1,0,2,0,2,0
41402,1,0,1,1,0,2,1,1,2,1,0,1,1,0,0,0,2,1,0,1,0
20432,0,0,2,1,1,1,0,2,1,1,1,1,1,0,0,0,1,1,1,0,0
36153,0,0,1,1,0,1,2,2,0,0,0,0,0,0,1,1,0,2,0,1,0
21327,1,0,1,2,0,2,0,0,0,1,1,0,1,0,2,1,2,1,0,1,1
47610,0,0,1,2,1,1,0,1,0,0,0,0,2,1,1,1,2,1,1,0,1
9557,1,1,0,1,0,1,1,2,2,1,1,0,0,1,2,0,0,0,0,1,0
32972,0,1,0,0,0,2,0,0,0,1,0,0,1,0,2,1,0,0,1,2,0
30401,1,0,2,1,0,2,2,0,1,1,1,0,1,1,0,0,1,1,1,1,0
23069,1,0,2,2,1,2,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0
33634,1,1,1,0,0,0,1,2,0,1,0,0,1,1,2,1,1,0,0,2,0
32330,1,1,1,0,1,1,2,1,2,1,1,1,0,0,1,0,2,0,0,2,0
42566,1,0,1,2,0,2,1,2,2,1,0,0,0,0,0,0,2,1,0,1,0
17749,1,0,2,2,1,0,0,1,2,1,1,0,1,0,2,0,2,0,1,0,0
42809,1,0,1,0,0,1,1,0,2,1,0,0,1,1,2,0,2,1,1,1,1
10708,1,0,1,1,1,1,0,0,0,0,1,1,2,1,0,1,2,1,1,1,0
11329,0,1,0,1,0,1,1,2,2,1,1,0,2,1,2,1,0,2,0,0,1
42300,0,1,1,1,0,2,0,2,0,0,1,0,0,1,2,1,2,0,0,2,0
28181,1,1,1,0,1,0,2,2,2,0,1,1,0,0,1,0,0,1,0,0,0
32345,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,2,1,0,0
26433,0,1,0,1,0,2,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0
6875,0,1,2,0,0,2,0,0,1,0,1,0,0,0,2,1,1,2,0,0,0
25674,1,0,1,0,1,0,2,2,0,0,0,1,2,0,1,0,0,1,0,0,0
13979,0,1,1,1,1,2,2,2,0,0,0,1,2,0,0,1,2,0,1,0,1
4631,0,0,1,0,1,0,0,0,1,0,1,1,2,1,1,0,2,1,0,1,1
22808,1,0,2,0,0,1,0,0,1,1,0,0,0,1,2,0,0,1,0,1,1
18498,1,0,0,0,0,1,0,1,2,1,1,0,0,1,2,1,0,0,0,2,0
14300,0,1,0,0,1,1,1,1,0,1,1,0,1,0,2,0,2,2,0,0,1
635,1,1,1,2,1,0,1,0,2,1,1,1,1,1,1,0,1,1,1,1,0
27491,1,0,1,0,1,2,2,0,0,1,1,0,2,0,1,0,1,1,1,2,1
44922,0,0,1,0,0,0,1,0,0,1,1,1,2,1,1,0,2,1,1,1,0
17425,0,0,2,1,1,2,2,0,0,0,1,0,2,0,0,0,1,1,1,1,1
31009,0,0,1,2,0,1,2,0,2,0,0,0,0,1,1,0,0,2,0,2,0
34856,0,0,2,0,0,1,2,2,1,1,0,0,1,0,2,1,0,1,1,0,0
30881,0,1,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,1
2539,0,1,0,0,1,1,1,1,2,1,1,1,2,0,1,0,2,2,1,0,0
7368,0,1,0,2,0,1,2,0,2,0,0,0,1,1,1,1,0,1,1,1,0
46987,0,0,2,0,1,0,0,2,2,1,1,1,0,0,0,1,0,1,1,0,1
32052,1,1,1,2,0,2,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0
7736,1,0,0,0,1,0,1,0,2,1,0,1,1,1,2,0,0,0,0,1,1
29868,1,0,1,1,0,2,1,2,0,0,0,1,0,1,2,0,0,2,1,0,1
32656,1,0,1,2,1,2,2,0,0,1,1,0,0,0,2,0,2,1,0,2,0
5622,0,1,0,0,0,0,1,2,0,1,1,1,2,1,2,1,0,2,1,0,1
8617,1,0,1,0,1,2,0,2,0,1,0,0,2,0,1,1,2,1,0,0,1
5667,0,1,2,2,0,0,2,1,0,0,1,0,0,0,2,1,0,1,0,1,0
30562,0,0,2,0,1,2,1,0,0,1,1,0,2,1,2,0,1,2,0,0,0
11467,0,1,0,1,1,1,1,2,0,0,0,1,0,1,0,0,2,1,0,0,0
9600,0,1,2,1,1,2,2,2,1,1,1,0,2,1,2,0,2,1,0,1,1
3106,1,1,2,1,1,2,2,2,2,0,0,0,1,1,2,1,2,2,0,1,1
25343,1,0,0,0,1,0,2,0,1,0,0,0,1,0,1,1,0,1,0,0,0
38681,1,1,0,1,0,2,2,1,0,0,0,0,0,0,2,0,2,0,1,1,1
2468,1,1,1,0,0,1,2,1,2,0,0,0,0,0,2,0,2,1,0,0,0
21044,0,1,1,0,0,0,2,0,2,0,1,0,1,1,2,0,0,2,1,0,0
9131,0,0,0,1,1,1,1,2,1,0,1,0,2,0,1,0,2,1,0,1,1
37584,0,1,1,0,0,2,1,2,2,0,0,1,0,1,1,0,1,2,0,1,1
41576,1,1,0,2,1,1,2,2,2,0,1,1,1,0,2,0,0,2,1,0,0
1970,1,0,1,2,0,2,0,1,1,1,0,1,2,1,0,1,2,0,1,0,1
29672,1,1,2,0,1,1,2,1,1,0,1,0,1,1,1,1,2,0,1,2,1
33406,1,0,2,0,1,1,1,2,0,0,1,0,2,1,1,0,2,0,0,1,1
16341,1,0,1,1,1,2,2,2,1,0,1,0,1,0,2,1,1,1,0,2,0
27531,1,0,1,0,1,2,1,2,0,0,0,0,2,1,1,1,2,2,0,0,1
36619,1,0,2,2,0,1,1,1,0,1,0,1,0,0,2,0,0,1,0,1,1
19013,0,1,1,2,0,2,0,0,2,0,0,0,2,1,1,1,1,0,1,2,1
34567,1,1,1,1,0,2,1,2,0,0,0,0,2,1,2,1,2,1,1,1,1
111,1,1,1,2,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1
13298,1,0,0,0,0,2,1,0,0,0,1,1,0,1,1,1,1,1,0,2,1
30822,0,0,1,0,1,2,2,0,0,1,1,1,0,0,2,0,0,1,0,0,1
46258,1,0,1,0,0,2,2,1,2,0,0,0,2,0,2,0,2,0,1,0,0
35725,1,0,1,0,1,0,0,1,2,0,0,0,0,1,2,0,2,1,0,0,1
43670,0,1,2,1,1,0,1,2,0,0,1,1,1,1,2,0,0,0,0,0,1
36596,0,1,1,0,0,2,2,2,0,1,1,0,0,1,2,0,2,1,1,0,0
35108,0,0,1,1,0,2,2,2,2,0,0,1,1,0,2,1,2,1,0,0,1
20949,1,0,0,2,0,2,1,0,0,1,1,0,0,1,2,0,1,1,1,0,1
44845,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
9134,1,0,0,2,0,2,2,0,2,0,0,0,1,1,2,1,1,0,1,2,1
6225,0,1,2,0,0,2,0,0,0,0,1,0,2,0,1,0,1,1,1,0,0
42322,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,2,1,1,2,1
40477,1,0,1,1,0,2,2,2,1,1,1,1,2,1,0,1,0,1,0,0,1
13428,1,0,2,0,0,0,1,2,1,0,0,0,1,1,0,0,1,0,0,0,0
37347,1,1,1,1,0,2,2,1,2,1,1,1,2,0,1,0,0,1,0,2,0
27649,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0,2,1,1,1,1
40915,1,0,1,1,1,1,1,1,0,0,0,1,2,1,0,0,1,1,0,2,0
22814,0,1,2,0,0,0,2,1,2,1,0,0,0,1,0,1,2,1,1,2,1
11376,1,0,2,0,1,2,0,1,0,0,1,1,2,1,2,1,2,0,0,1,1
18687,0,1,0,0,0,2,1,0,2,1,0,1,0,1,0,0,0,2,0,1,1
43869,1,0,2,2,0,0,2,0,1,0,1,0,1,1,0,0,1,1,1,0,1
