ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.U,v.V,v.W,v.X,v.Y,v.Z,v.AA,v.AB,v.AC,v.AD,v.AE,v.AF,v.AG,v.AH,v.AI,v.AJ,v.AK,v.AL,v.AM,v.AN,v.AO,v.AP,v.AQ,v.AR,v.AS,v.AT,v.AU,v.AV,v.AW,v.AX,v.dummy
40114,0,0,1,0,0,1,0,0,0,1,1,1,1,0,2,0,1,0,1,0,2,1,1,0,1,1,1,1,2,1,0,1,0,0,2,2,0,1,2,0,1,2,2,0,2,1,0,1,0,2,0
39656,0,0,0,2,0,1,0,2,2,1,1,1,0,1,1,0,0,0,1,2,0,1,0,0,0,0,1,1,0,1,0,0,1,1,2,1,0,0,0,1,0,2,0,2,2,1,0,0,2,1,0
24630,1,0,1,1,0,0,1,1,1,1,0,1,2,1,1,0,2,0,0,2,0,0,0,0,0,0,1,0,2,0,0,2,0,1,1,1,0,1,0,1,1,2,1,1,1,0,1,1,1,2,0
37690,1,0,0,2,0,2,1,0,2,0,1,0,1,0,2,1,1,1,0,1,1,0,0,0,1,1,0,1,2,0,0,2,0,1,2,1,1,0,2,0,2,1,2,2,2,2,0,1,2,2,0
12187,1,0,0,2,0,0,0,1,0,1,0,0,0,0,2,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,2,0,1,1,2,0,2,1,2,2,1,1,1,0,0,0,0
12810,0,1,0,2,1,2,2,1,1,0,0,1,1,1,1,0,2,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,2,1,2,1,1,0,1,1,1,1
40243,0,0,1,0,0,1,0,1,2,1,1,0,1,0,2,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,2,0,1,1,2,0,1,1,1,0,0
7508,0,1,1,2,0,0,2,1,1,0,0,1,2,0,2,0,2,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,1,0,2,2,2,1,2,0,1,2,0,0,0,2,1,0,2,2,0
3626,0,0,0,2,0,0,1,2,2,0,1,0,1,1,1,0,0,1,0,0,2,0,2,1,0,0,0,0,1,1,1,1,1,0,1,0,2,1,0,1,1,2,2,2,2,0,1,0,0,2,0
4302,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,1,2,2,2,2,2,0,0,2,0,0
46598,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,2,1,0,0,1,0,2,0,0,2,1,1,2,2,1,0,0,1,2,0,1,0,1,0,0,0,0,2,0
5872,1,1,0,1,0,0,0,1,2,1,1,1,2,0,1,0,0,0,0,1,1,1,2,0,1,0,1,0,2,0,0,2,0,1,2,1,2,0,0,1,2,0,2,2,2,1,1,0,0,2,0
1606,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,2,0,0,2,0,1,0,1,0,1,0,0,0,0,1,1,0,2,0,1,0,2,1,1,1,2,2,0,0,1,0,0
33924,1,1,1,1,1,1,0,1,1,1,1,1,2,0,2,1,2,0,0,2,0,0,0,0,1,0,1,0,1,1,0,1,1,1,2,2,2,0,2,1,1,2,0,1,2,1,0,1,0,1,1
46275,0,0,1,0,0,2,0,1,0,1,1,0,2,1,2,1,0,0,0,0,0,1,2,1,1,1,0,1,2,1,0,1,0,0,1,1,0,1,0,1,2,2,2,1,1,0,0,0,0,1,0
15507,0,0,0,1,1,1,2,1,2,0,0,0,0,1,2,0,0,0,1,2,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,2,0,2,0,0,0,0,0,1,1
36809,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,2,1,0,0,1,1,1,2,1,0,0,0,2,0,0,0,0,0,1,0,0,2,1
4235,1,0,1,0,1,2,0,2,1,1,1,1,2,1,1,1,0,2,0,1,0,1,1,0,1,0,0,1,2,0,1,0,0,1,2,0,0,0,1,0,2,0,1,0,1,0,1,0,1,2,0
33048,0,0,0,2,0,1,0,1,2,0,1,1,1,0,2,1,0,0,0,1,1,0,2,0,0,1,0,1,2,0,0,0,0,0,0,2,1,1,1,1,0,1,2,2,0,1,1,1,1,2,1
26682,1,1,1,0,0,0,0,0,2,0,1,1,2,1,2,0,2,1,0,2,1,0,2,1,0,0,0,0,0,0,1,2,0,1,1,0,2,0,1,1,0,0,0,0,2,0,0,0,0,2,1
3551,1,0,0,2,0,2,0,1,1,1,0,0,0,1,1,0,1,0,0,2,0,1,0,0,1,1,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0
1695,1,0,2,2,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,2,1,0,1,0,0,2,0,2,1,1,1,0,1,2,1,1,1,1,0,0,2,1
24629,0,0,0,0,0,2,1,2,1,1,1,1,0,0,0,1,1,2,0,1,2,0,2,0,1,1,0,1,0,0,0,0,0,0,2,2,1,0,1,1,2,0,1,2,0,2,0,1,0,0,0
14809,0,0,0,2,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,2,1,0,1,0,0,1,0,2,0,0,0,1,0,2,1,1,0,1,0,0,2,0,1,0,2,1,0,0,2,0
48625,0,0,0,1,0,1,2,1,1,0,0,1,2,0,1,1,0,2,0,2,1,0,0,1,0,0,0,0,2,0,1,2,0,1,1,1,2,1,0,1,0,0,2,2,0,1,1,1,2,2,0
45312,0,0,1,0,0,1,1,1,2,1,1,1,2,0,0,1,2,0,1,1,1,0,2,1,1,0,1,1,0,0,0,2,1,0,2,1,0,0,2,0,2,0,1,1,1,2,0,0,0,2,0
30529,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,2,1,2,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,2,0,1,1,0,2,0,0
14509,0,0,0,1,0,2,0,0,0,0,1,0,2,0,1,1,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,0,1,0,0,0,1,2,0,1,1,0,2,2,1
40923,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,1,1
45055,1,0,0,2,1,2,0,0,1,0,1,1,2,1,0,0,2,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,2,1,2,0,1,1,1,1,2,1,1,1,1,2,1
25963,0,0,2,0,0,1,2,2,2,0,1,1,0,0,2,1,1,2,0,1,2,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,2,0,2,1,0,1,0,1,0,0,0,0,1
41005,0,0,0,2,1,1,1,2,2,0,0,0,1,0,1,0,1,1,0,2,0,1,2,0,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,2,1
