ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.U,v.V,v.W,v.X,v.Y,v.Z,v.AA,v.AB,v.AC,v.AD,v.AE,v.AF,v.AG,v.AH,v.AI,v.AJ,v.AK,v.AL,v.AM,v.AN,v.AO,v.AP,v.AQ,v.AR,v.AS,v.AT,v.AU,v.AV,v.AW,v.AX,v.AY,v.AZ,v.BA,v.BB,v.BC,v.BD,v.BE,v.BF,v.BG,v.BH,v.BI,v.BJ,v.BK,v.BL,v.BM,v.BN,v.BO,v.BP,v.BQ,v.BR,v.BS,v.BT,v.BU,v.BV,v.BW,v.BX,v.BY,v.BZ,v.CA,v.CB,v.CC,v.CD,v.CE,v.CF,v.CG,v.CH,v.CI,v.CJ,v.CK,v.CL,v.CM,v.CN,v.CO,v.CP,v.CQ,v.CR,v.CS,v.CT,v.CU,v.CV,v.dummy
47492,1,0,2,2,1,0,1,0,0,0,1,1,2,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,2,0,0,2,1,0,1,2,0,1,2,1,1,0,1,2,0,1,1,0,1,0,1,0,0,1,0,0,0,2,1,0,1,1,1,1,1,0,1,0,0,1,1,2,1,1,0,2,2,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,2,1,0,1,0,2,1
10849,1,0,2,2,0,1,0,2,2,1,0,1,1,0,2,1,1,1,1,2,0,1,0,1,1,0,0,1,2,0,0,2,1,0,0,2,1,0,1,1,0,0,2,2,2,0,1,0,2,1,1,2,0,1,0,1,0,0,2,0,1,1,0,1,1,1,1,1,0,0,1,2,1,0,1,2,0,0,1,0,1,1,0,0,2,0,1,0,1,0,0,0,1,1,2,1,1,0,0,2,0
14615,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,1,1,1,1,2,1,0,1,1,1,0,2,2,0,0,0,1,2,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,2,2,2,0,1,1,0,0,0
22358,1,1,2,1,0,2,0,1,2,1,1,0,0,0,1,0,1,2,1,2,2,0,2,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,1,0,0,2,1,1,2,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,1,1,0,0,0,2,2,1,0,0,1,2,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1,1,0,2,1
585,0,0,2,2,1,2,1,0,2,1,0,0,1,1,1,1,0,0,1,0,0,0,2,0,1,1,0,1,0,0,0,1,0,1,2,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,2,2,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,1,2,2,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,2,0,2,1,0,1,2,1,0
17170,1,1,1,1,1,2,0,0,0,1,1,1,2,1,2,1,2,1,0,2,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,2,1,0,1,0,1,2,2,0,1,0,1,1,2,2,1,1,1,1,1,0,0,0,2,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,2,2,1,1,0,1,1,1,1,0,0,1,0,1,2,2,2,0,1,1,2,2,1
33667,1,0,0,1,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,1,2,1,2,1,0,0,1,1,2,1,0,1,1,0,2,2,2,1,0,0,1,0,1,2,2,2,0,1,2,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,1,0,0,0,1,1,1,0,0,1,0,2,1,0,1,0,0,2,1,0,2,0,2,1,0,0,0,0,1,1,1,2,1,1,2,1,1
18829,1,0,2,0,1,2,2,1,0,1,1,0,1,1,2,0,0,0,1,0,0,1,2,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,2,2,0,1,1,2,0,0,2,0,1,0,0,1,0,0,1,2,1,1,2,1,1,0,0,0,1,0,0,1,1,2,0,0,1,2,0,0,0,2,1,2,0,0,2,1,0,1,0,1,1,0,2,2,2,1,1,1,0,0,1
35855,0,1,1,0,0,2,2,2,0,0,1,1,1,1,0,1,1,0,0,0,2,1,0,1,1,1,0,0,2,1,0,2,1,1,2,1,2,1,0,0,1,2,0,2,2,2,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,2,1,1,0,0,1,1,1,1,0,1,2,0,1,2,2,0,1,0,0,0,0,2,1,0,1,0,1,2,2,2,0,1,1,0,0,1
19257,1,0,0,2,0,0,0,0,2,1,0,0,0,1,2,0,2,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,2,2,1,1,1,1,2,2,2,0,2,2,0,1,2,0,1,1,1,1,1,1,0,2,2,0,2,0,1,0,1,1,0,2,1,1,1,0,1,0,1,0,0,1,0,2,1,1,1,1,0,1,2,0,1,0,0,1,0,0,0,0,1,1,2,1,0
28266,1,0,0,0,1,0,2,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,1,0,1,2,0,1,1,1,1,1,1,1,0,1,2,0,0,2,0,0,1,0,0,0,1,1,2,2,1,2,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,2,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
49007,0,1,0,0,1,0,1,1,0,0,1,0,0,1,2,1,2,0,0,1,0,1,2,1,1,0,0,0,2,0,1,0,0,1,2,2,2,1,1,1,0,2,0,1,2,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,2,0,1,1,0,1,0,1,0,0,0,0,2,1,2,2,1,1,1,0,2,1,1,1,0,0,1,1,0,1,2,1,0,1,2,2,1
15969,1,1,2,2,1,2,1,2,1,0,0,1,2,0,2,1,1,0,0,1,1,0,2,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,2,1,1,0,1,1,1,1,1,1,0,0,1,1,0,2,2,1,2,0,1,0,1,1,0,1,1,1,1,2,0,0,1,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,2,1
1992,0,0,1,2,1,1,2,0,0,0,0,1,2,1,2,1,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,2,1,1,2,1,2,1,0,1,1,2,0,0,2,1,1,0,0,1,2,2,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,1,2,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,2,0
28640,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,2,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,1,2,2,0,2,2,0,0,0,2,1,2,0,0,1,0,1,0,2,0,0,1,1,0,1,1,0,2,1,1,1,1,1,0,1,1,2,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,2,0,1,0,2,2,0
7054,1,1,2,2,0,1,1,1,0,1,0,0,1,1,0,0,2,2,0,1,0,0,2,0,1,1,0,1,1,0,0,0,0,0,2,1,1,0,0,1,0,2,2,1,2,1,0,1,1,0,0,0,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,2,2,1,1,0,1,1,0,0,1,0,2,0,0,1,1,1,1,1,0,1,0,1,1,2,1
7631,1,0,0,0,1,0,1,0,0,0,1,1,2,1,0,1,1,2,1,1,0,1,2,0,1,0,0,0,2,1,0,0,0,0,1,1,0,1,2,1,1,1,1,1,2,2,0,1,2,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,2,0,1,0,1,0,0,2,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,2,0,1,0,2,1,1
24548,0,0,0,2,0,1,0,2,2,1,0,0,0,1,0,0,1,1,1,1,1,0,2,0,1,0,1,0,2,1,1,1,0,0,1,2,1,0,1,1,2,0,2,1,2,0,1,1,0,0,1,1,0,1,1,1,0,2,1,1,2,1,0,1,1,1,0,0,1,1,1,1,0,1,0,2,1,1,0,0,1,2,0,0,2,1,1,0,1,0,0,1,0,0,0,2,0,0,2,2,1
30769,1,1,2,2,0,1,2,0,0,0,0,1,2,0,0,0,2,2,1,0,0,0,2,1,0,1,1,0,2,0,0,0,0,0,2,0,2,0,0,0,1,2,1,0,1,2,0,0,1,2,1,2,0,1,0,1,0,2,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,2,1,2,2,1,1,0,0,2,0,2,1,0,0,1,0,1,2,2,1,0,0,2,1,0
12730,1,1,2,2,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,2,1,0,0,1,1,0,1,0,0,1,0,0,1,1,2,0,2,1,0,1,1,1,0,2,1,1,1,1,0,1,1,0,0,1,1,1,0,2,1,1,2,0,1,1,0,1,1,1,0,2,0,1,1,0,0,1,0
22247,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,1,0,2,1,0,2,0,2,1,0,1,0,0,1,0,0,1,1,1,0,1,2,0,0,1,2,2,0,2,0,1,0,0,1,1,0,2,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,1,0,2,0,1,0,0,1,2,1,1,1,2,1,1,1,1,0,1,0,0,1,1,1,0,0,2,2,0,0,1,0,2,1
26519,0,1,1,0,1,2,1,2,1,1,0,0,1,0,0,0,0,2,1,2,2,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,2,0,2,1,1,0,0,1,1,0,1,1,2,2,0,1,1,0,1,0,0,2,1,1,0,0,0,0,0,1,1,2,0,2,1,1,0,1,1,1,1,1,0,2,1,2,0,0,2,0,0,1,0,0,0,1,0,2,2,2,0,0,1,1,0
18291,1,1,0,1,0,2,2,0,2,1,1,0,1,0,2,0,1,2,0,1,2,1,2,0,1,1,0,1,1,0,1,0,1,0,2,2,2,0,1,1,0,2,2,1,2,0,1,0,1,2,0,2,1,1,1,1,0,2,2,1,2,0,1,1,2,0,1,1,1,2,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,2,2,2,1,1,0,0,2,1
3591,1,0,2,1,0,0,2,0,2,0,0,0,2,1,2,0,2,0,1,2,2,1,2,0,1,0,0,1,2,1,0,2,1,0,0,2,0,1,0,1,1,0,2,2,0,2,1,0,2,0,1,2,0,1,0,0,1,2,1,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,2,1,2,0,0,2,1,1,0,0,0,1,0,1,1,2,0,1,1,2,0,1
19668,0,0,1,1,0,2,1,2,0,0,1,1,0,1,2,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,1,2,2,0,2,1,0,1,1,0,1,0,0,0,0,1,1,1,2,2,1,2,0,1,0,2,1,1,2,1,1,1,1,0,0,0,1,1,0,1,2,0,1,0,0,1,1,2,0,1,0,0,1,0,2,2,1,0,0,1,1,0
4062,0,0,2,0,0,2,2,1,1,0,1,0,0,0,2,0,0,2,1,2,0,0,2,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,2,0,1,0,0,1,0,2,0,0,1,1,0,2,0,1,2,0,1,0,2,1,1,0,1,0,0,2,0,0,1,2,2,0,0,2,1,1,0,0,0,1,2,1,0,0,1,1,0,0,2,0,1,1,1,0,0
7255,0,0,0,0,1,0,1,1,2,0,1,1,2,0,2,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,2,0,0,0,1,0,0,0,1,1,2,2,1,0,2,1,0,2,0,0,0,0,0,0,1,0,2,1,0,2,0,1,0,2,1,1,2,0,2,0,2,0,0,0,2,2,0,1,0,0,1,1,1,1,1,2,0,1,0,1,0,1,1,1,0,0,0,2,2,0
34073,0,0,1,2,0,1,2,1,0,0,1,0,0,0,2,1,1,1,0,1,1,1,2,1,0,0,1,0,0,0,1,2,0,0,2,1,2,1,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,1,1,1,0,1,0,0,1,0,0,1,2,2,0,2,1,1,0,0,1,1,1,2,0,0,0,0,1,0,2,2,0,0,1,0,1,0
24152,1,1,0,1,1,2,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,2,0,0,1,1,0,1,2,2,1,0,0,0,2,0,2,0,1,1,0,1,1,1,0,1,0,0,0,0,1,2,1,2,1,1,0,2,1,1,1,0,1,1,1,0,1,1,2,1,1,1,0,1,0,0,0,2,1,2,1,1,0,0,0,2,2,0,1,0,1,2,2,0
18571,1,1,0,2,1,2,1,1,2,1,0,1,2,1,0,1,2,2,0,1,1,0,0,1,1,0,1,1,2,0,0,1,0,1,2,2,0,1,1,1,1,1,1,2,2,0,0,0,0,0,1,2,1,0,0,0,0,2,0,1,2,1,1,0,2,0,1,0,1,1,0,2,0,0,1,1,2,0,2,1,0,2,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0,1,2,1,0
10324,1,1,0,0,0,2,2,0,2,1,0,1,2,1,1,1,2,2,0,1,2,1,1,1,1,1,0,1,2,1,1,2,0,0,0,2,2,1,1,1,2,1,0,2,0,0,0,0,1,0,1,2,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,2,1,2,1,1,0,1,0,1,1,0,1,0,1,2,0,0,2,0,2,0,0,1,1,0,2,2,2,0,1,1,2,1,1
41037,0,1,0,2,1,0,1,0,2,0,1,0,2,0,0,1,2,1,0,0,1,1,2,0,0,0,0,1,2,1,1,2,1,0,0,0,2,0,0,0,1,0,0,2,2,2,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,2,0,1,2,0,0,2,1,1,1,0,1,1,0,2,1,2,1,0,1,1,1,0
38155,1,0,1,2,1,1,2,1,2,0,1,0,2,1,2,0,1,0,1,2,1,0,2,1,0,1,1,0,1,1,0,2,1,1,1,0,2,0,0,1,2,1,1,1,1,2,0,0,0,0,1,2,1,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,1,1,1,0,1,1,2,1,0,0,1,1,1,0,1,2,1,0,1,1,0,1,0,0,0,2,0,0,1,1,2,0
24568,0,1,2,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,2,1,1,1,0,0,2,2,0,1,1,2,0,0,1,1,0,2,0,0,1,1,0,1,0,0,2,0,0,1,2,0,0,2,1,1,1,0,1,0,1,1,1,0,1,1,1,2,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1
23412,1,1,2,0,0,2,2,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,2,1,1,1,1,0,2,1,0,1,0,0,2,1,2,1,2,0,0,0,0,1,2,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,1,0,1,2,1,1,0,1,2,0,1,1,0,0,1,2,0,1,0,1,2,1,1,0,1,2,1,0,1,1,1,0,2,2,1,1,1,0,0,1
46073,1,1,0,2,1,1,0,1,0,0,1,0,2,1,1,0,1,2,1,1,1,1,2,1,1,1,0,0,2,1,0,1,1,0,2,1,2,0,1,1,1,0,0,1,2,0,1,0,1,0,1,0,1,0,0,0,1,2,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,2,2,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,2,0,1,0,0,2,1
5998,0,0,2,0,1,0,2,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,2,0,1,1,1,0,2,2,0,2,2,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,2,1,0,1,0,0,2,0,1,2,0,1,0,0,1,1,1,0,2,2,2,1,0,2,2,0
23616,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,1,1,2,0,0,1,1,2,1,0,1,0,1,1,1,0,2,0,0,0,0,1,1,0,1,1,1,0,2,1,2,1,0,1,0,1,1,1,1,0,1,0,2,2,1,0,0,0,1,1,0,1,0,0,1,0,2,1,0,0,1,2,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,1,1,0,1,0,0,2,2,1
25227,0,1,2,1,1,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,2,1,1,0,0,0,0,1,1,0,1,0,2,1,0,1,0,0,0,1,0,0,2,1,0,1,2,0,1,0,0,1,0,0,0,1,1,0,2,0,0,0,0,1,1,2,0,0,1,0,0,0,1,2,1,1,1,1,1,2,0,1,0,1,0,1,1,1,0,1,2,2,0,2,1,0,2,2,1
43221,0,1,0,0,0,2,2,0,1,1,1,1,2,0,0,1,2,2,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,2,1,2,1,1,1,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,2,1,1,0,0,1,1,1,1,0,1,0,1,1,2,0,1,2,1,1,2,1,1,0,1,1,1,0,0,0,2,1,0,0,0,1,1
11789,1,0,1,2,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,2,1,2,0,0,1,2,1,0,0,1,0,0,1,2,1,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,2,0,1,2,0,1,0,0,0,0,1,0,0,0,2,1,2,1,1,1,2,0,1
