ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.dummy
26368,1,0,1,1,0,2,1,1,0,0,1,1,0,1,1,1,2,1,0,2,1
14137,0,0,1,1,0,0,0,1,2,1,0,1,0,1,1,1,1,0,0,1,1
7073,0,0,2,1,0,0,0,2,1,0,0,1,2,1,2,0,1,1,1,2,0
8098,0,0,1,1,1,0,0,1,1,1,1,0,0,0,2,0,2,2,0,1,1
39301,0,0,2,1,1,0,2,1,1,0,1,0,0,0,0,1,2,1,1,2,0
5634,0,1,1,1,0,0,1,2,1,0,1,1,0,1,1,0,2,2,1,1,1
128,1,1,2,0,0,1,1,0,2,1,1,0,1,0,2,0,1,0,0,2,0
21582,0,0,1,2,0,0,2,1,0,0,0,1,2,1,0,1,2,0,0,2,1
42994,0,1,0,2,1,1,2,1,0,1,1,0,0,0,0,1,1,2,1,0,1
9994,0,0,2,0,0,2,0,2,0,1,1,1,1,1,0,1,2,0,0,0,1
9481,0,0,2,0,0,0,2,1,0,0,1,1,0,1,0,1,2,1,0,2,1
394,1,0,1,0,1,2,2,1,2,0,1,1,0,1,0,0,1,2,1,1,0
10472,1,1,0,1,0,0,2,2,2,0,1,1,2,0,2,0,0,2,0,2,0
25374,0,0,2,0,0,1,1,1,1,0,1,1,0,0,0,0,0,2,1,2,1
45453,0,0,1,0,1,2,0,2,0,0,0,0,2,0,0,1,2,1,1,1,1
2124,1,1,1,2,1,2,2,0,0,0,0,0,1,1,2,0,1,2,0,2,0
3023,1,1,2,0,1,1,1,1,1,1,0,0,1,0,1,0,2,0,0,1,1
46289,1,1,1,0,1,0,0,0,2,0,1,1,2,1,2,1,2,2,1,2,1
11303,1,1,2,1,1,2,1,1,2,0,0,0,2,0,1,0,2,0,0,0,0
23839,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,2,0,2,1
3598,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
18248,1,1,0,1,0,1,1,1,2,0,1,1,0,0,2,1,2,2,1,1,1
