"A","B","C","D","E","F","G","H","I","J","K","L","M","N","O","P","Q","R","S","T","U","V","W","X","Y","Z","AA","AB","AC","AD","AE","AF","AG","AH","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AT","AU","AV","AW","AX"
"A_1","B_2","C_3","D_1","E_1","F_2","G_1","H_1","I_2","J_2","K_2","L_1","M_1","N_2","O_2","P_2","Q_2","R_1","S_2","T_2","U_1","V_1","W_2","X_2","Y_2","Z_2","AA_1","AB_1","AC_3","AD_2","AE_2","AF_3","AG_1","AH_1","AI_2","AJ_3","AK_2","AL_1","AM_3","AN_2","AO_2","AP_1","AQ_1","AR_2","AS_2","AT_2","AU_1","AV_1","AW_3","AX_1"
"A_1","B_2","C_3","D_3","E_2","F_3","G_3","H_2","I_1","J_2","K_1","L_1","M_3","N_1","O_1","P_2","Q_2","R_1","S_1","T_3","U_3","V_2","W_1","X_1","Y_1","Z_1","AA_2","AB_2","AC_1","AD_2","AE_1","AF_2","AG_1","AH_2","AI_2","AJ_3","AK_3","AL_1","AM_1","AN_2","AO_2","AP_2","AQ_1","AR_2","AS_2","AT_2","AU_2","AV_1","AW_1","AX_1"
"A_2","B_1","C_1","D_3","E_2","F_3","G_1","H_2","I_2","J_1","K_2","L_1","M_2","N_2","O_2","P_2","Q_3","R_1","S_1","T_2","U_1","V_1","W_2","X_1","Y_1","Z_1","AA_2","AB_2","AC_2","AD_2","AE_2","AF_2","AG_1","AH_1","AI_3","AJ_2","AK_1","AL_1","AM_3","AN_1","AO_3","AP_2","AQ_1","AR_3","AS_2","AT_2","AU_1","AV_1","AW_3","AX_3"
"A_2","B_2","C_2","D_2","E_1","F_1","G_3","H_3","I_2","J_2","K_2","L_2","M_2","N_2","O_3","P_1","Q_1","R_1","S_2","T_2","U_1","V_1","W_1","X_2","Y_1","Z_2","AA_1","AB_1","AC_3","AD_2","AE_2","AF_2","AG_1","AH_1","AI_2","AJ_1","AK_1","AL_1","AM_3","AN_2","AO_3","AP_3","AQ_2","AR_3","AS_3","AT_2","AU_2","AV_2","AW_3","AX_1"
"A_2","B_1","C_2","D_3","E_1","F_3","G_1","H_2","I_2","J_2","K_1","L_2","M_1","N_1","O_2","P_1","Q_1","R_1","S_1","T_2","U_1","V_2","W_1","X_1","Y_2","Z_2","AA_1","AB_1","AC_2","AD_2","AE_1","AF_2","AG_1","AH_2","AI_1","AJ_3","AK_2","AL_1","AM_3","AN_2","AO_1","AP_2","AQ_2","AR_2","AS_2","AT_2","AU_1","AV_1","AW_3","AX_1"
"A_2","B_1","C_1","D_1","E_1","F_1","G_1","H_1","I_2","J_1","K_2","L_2","M_1","N_1","O_3","P_1","Q_1","R_1","S_1","T_1","U_3","V_1","W_1","X_1","Y_2","Z_2","AA_2","AB_2","AC_1","AD_1","AE_1","AF_2","AG_1","AH_1","AI_2","AJ_2","AK_1","AL_2","AM_2","AN_2","AO_2","AP_1","AQ_1","AR_3","AS_3","AT_3","AU_1","AV_1","AW_1","AX_1"
"A_1","B_2","C_3","D_2","E_2","F_2","G_2","H_1","I_1","J_2","K_1","L_2","M_1","N_2","O_3","P_1","Q_3","R_1","S_1","T_2","U_2","V_2","W_3","X_2","Y_1","Z_1","AA_2","AB_2","AC_1","AD_1","AE_2","AF_2","AG_1","AH_2","AI_2","AJ_1","AK_2","AL_1","AM_3","AN_2","AO_2","AP_3","AQ_3","AR_3","AS_2","AT_1","AU_1","AV_1","AW_1","AX_1"
"A_2","B_2","C_3","D_3","E_2","F_1","G_2","H_2","I_2","J_2","K_1","L_2","M_1","N_2","O_2","P_2","Q_2","R_3","S_1","T_2","U_2","V_2","W_2","X_2","Y_1","Z_1","AA_2","AB_2","AC_3","AD_2","AE_2","AF_2","AG_1","AH_2","AI_3","AJ_1","AK_1","AL_1","AM_1","AN_2","AO_2","AP_3","AQ_1","AR_1","AS_1","AT_2","AU_2","AV_2","AW_3","AX_2"
"A_2","B_1","C_3","D_1","E_2","F_2","G_1","H_2","I_2","J_2","K_2","L_1","M_1","N_2","O_1","P_1","Q_3","R_2","S_2","T_3","U_1","V_1","W_1","X_1","Y_1","Z_2","AA_2","AB_1","AC_1","AD_2","AE_1","AF_2","AG_1","AH_2","AI_3","AJ_1","AK_2","AL_1","AM_2","AN_2","AO_2","AP_3","AQ_1","AR_1","AS_1","AT_2","AU_1","AV_2","AW_2","AX_1"
"A_1","B_1","C_1","D_2","E_1","F_2","G_2","H_1","I_3","J_2","K_2","L_1","M_2","N_1","O_1","P_2","Q_1","R_1","S_1","T_2","U_1","V_2","W_1","X_1","Y_1","Z_1","AA_1","AB_1","AC_1","AD_2","AE_2","AF_1","AG_1","AH_2","AI_3","AJ_3","AK_3","AL_1","AM_1","AN_2","AO_3","AP_2","AQ_3","AR_1","AS_3","AT_3","AU_1","AV_2","AW_3","AX_1"
