ig.id,v.A,v.B,v.C,v.D,v.E,v.F,v.G,v.H,v.I,v.J,v.K,v.L,v.M,v.N,v.O,v.P,v.Q,v.R,v.S,v.T,v.U,v.V,v.W,v.X,v.Y,v.Z,v.AA,v.AB,v.AC,v.AD,v.AE,v.AF,v.AG,v.AH,v.AI,v.AJ,v.AK,v.AL,v.AM,v.AN,v.AO,v.AP,v.AQ,v.AR,v.AS,v.AT,v.AU,v.AV,v.AW,v.AX,v.dummy
41585,0,0,1,2,1,1,2,2,0,1,1,1,2,0,2,1,1,0,1,1,2,1,1,1,0,1,0,1,0,0,0,1,0,0,2,0,0,1,2,0,0,2,0,2,1,1,0,0,2,0,0
31545,0,0,0,1,1,2,0,2,0,0,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,0,0,1,1,0,1,0,1,1,2,1,0,0,0,0,2,0,0,1,1,0,0,2,2,0
18007,0,1,1,1,0,0,2,2,0,1,0,1,0,0,2,1,2,2,0,2,1,1,1,1,0,1,1,0,2,0,1,0,0,0,2,2,0,0,2,1,2,0,1,1,1,2,1,1,2,2,1
9350,1,1,0,1,0,2,1,1,2,0,1,0,1,0,2,0,1,0,0,1,2,1,0,1,0,1,0,0,1,1,0,0,0,1,2,0,0,0,1,1,1,2,1,0,0,0,1,0,0,0,0
26584,0,1,2,1,0,0,0,0,0,1,0,1,0,0,2,0,0,2,0,2,1,0,2,0,0,0,1,0,2,1,0,2,0,0,0,2,2,0,2,1,2,1,2,1,1,1,1,0,1,2,1
4819,1,1,2,0,0,0,0,2,1,1,1,0,0,0,2,1,0,0,1,1,2,0,0,1,0,1,1,1,0,0,1,1,0,0,2,1,2,0,0,1,2,2,2,0,0,2,1,0,0,1,1
21900,0,1,1,0,0,2,2,0,0,1,0,0,0,0,2,0,2,2,1,0,0,0,0,1,0,1,1,0,2,1,0,2,1,0,0,0,1,0,1,0,1,0,0,1,2,0,1,1,0,2,1
29012,1,0,0,1,1,2,0,2,1,0,1,1,1,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,2,0,1,2,2,1,0,0,2,1,1
45015,1,1,1,0,1,0,2,2,0,1,1,0,1,1,2,1,1,0,1,2,2,0,2,1,0,1,0,1,0,1,0,1,1,0,2,2,2,1,1,0,0,2,0,2,0,2,0,0,0,2,1
37795,1,1,2,2,1,1,0,2,2,0,1,1,2,0,2,0,1,1,0,1,2,0,0,0,1,1,1,0,0,1,1,2,1,0,2,0,1,1,1,0,1,1,0,0,0,2,1,1,0,1,1
19690,1,1,2,1,1,0,1,1,2,0,0,1,2,1,0,0,1,1,1,2,0,1,1,1,1,1,0,0,0,0,0,2,0,1,2,2,0,1,0,1,0,2,1,1,2,2,1,0,1,1,1
43663,0,1,2,2,1,0,0,0,1,1,0,1,0,0,2,0,2,0,1,2,2,1,1,1,0,1,0,0,2,1,0,2,0,0,1,0,2,1,0,0,0,2,1,2,2,0,0,1,1,0,0
30680,0,1,1,0,1,0,0,1,0,0,1,1,2,0,0,1,2,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,2,1,0,1,0,1,1,0,0,1,0,0,0
34725,0,1,1,2,0,1,1,1,1,1,1,0,2,1,1,1,2,1,1,2,0,1,2,0,0,0,1,1,2,0,1,0,1,1,1,2,2,1,0,0,0,2,0,0,2,0,1,1,0,1,0
11221,1,0,1,0,0,0,2,2,0,0,1,0,0,1,2,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,1,1,0,1,0,0,0,2,0,1,1,0,0,0
3614,1,0,1,1,1,2,0,2,0,1,1,0,1,1,2,1,2,0,1,2,1,1,0,1,0,1,0,0,0,1,0,2,0,1,1,2,0,0,2,1,2,1,0,2,1,1,1,0,2,2,1
45242,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,1,0,2,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,2,2,1,0,1,2,0,1
4203,0,0,0,2,0,0,0,0,1,1,0,1,0,1,2,0,1,1,1,2,1,0,0,1,1,1,0,0,2,0,1,0,1,1,1,0,2,1,2,1,0,2,2,1,2,1,0,1,2,1,0
25323,1,1,2,1,0,0,0,1,2,0,1,1,2,0,0,1,2,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2,1,0,1,1,0,1,1,0,1,2,1,0,1,2,0
24973,1,1,2,2,1,2,1,2,0,0,0,0,2,0,0,0,1,0,1,1,2,0,1,0,1,1,1,0,2,0,1,1,0,1,1,0,0,0,2,1,0,1,0,1,2,1,0,1,2,0,1
39410,1,0,1,1,1,2,0,2,1,0,0,1,2,1,1,0,0,1,0,2,0,1,1,1,1,1,1,0,0,0,0,1,0,0,2,1,0,1,2,1,0,2,1,2,0,2,0,1,2,2,1
11487,0,1,2,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,1,0,2,1,0,2,1,2,0,2,1,1,1,1,0,2,1,0,1,2,1,1
6455,0,1,1,0,1,1,0,0,2,1,0,0,0,0,2,0,1,2,1,2,0,0,0,0,1,1,0,0,1,0,1,2,0,1,1,0,2,0,1,1,1,2,2,0,2,0,1,1,0,0,0
8535,1,0,2,2,0,1,1,0,0,0,1,0,1,1,1,0,0,2,0,2,1,1,1,0,0,1,1,0,2,1,1,2,1,0,2,2,0,1,0,1,0,0,0,2,2,2,1,1,0,2,0
49202,0,1,1,0,0,0,0,2,0,0,1,0,2,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,2,0,2,2,2,2,1,2,0,0,2,2,1
26907,1,1,1,1,1,0,0,1,0,1,0,1,2,1,1,0,0,2,0,2,1,0,2,1,0,1,1,0,2,0,1,0,0,0,1,0,0,1,2,0,2,1,0,2,0,1,0,1,1,1,0
1701,1,1,2,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,0,1,1,0,0,0,2,0,0,2,0,2,1,0,0,0,2,0,0,1,0,0,1,0,1,1
14940,1,0,2,1,0,0,0,2,1,0,0,1,0,0,0,1,1,2,0,2,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,2,2,0,0,1,0,1,0,1,1,1,1,0,1,1,0
10126,1,0,2,2,1,1,0,2,0,1,0,0,1,1,1,1,2,0,0,2,1,0,0,0,0,0,0,1,0,1,1,2,0,1,2,1,2,1,0,0,0,2,2,1,0,1,0,1,2,2,1
21510,1,0,0,1,0,0,2,1,1,0,0,0,1,0,2,1,1,0,0,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,2,2,1,1,0,1,1
43340,1,1,0,0,0,0,0,2,2,1,0,0,0,0,1,1,0,2,0,2,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,2,1,2,1,1,1,0,2,0,2,0,1,1,1,1
45315,1,0,1,1,0,0,0,1,2,0,0,1,2,1,2,1,2,0,0,1,0,1,1,0,1,1,1,1,0,1,1,2,0,0,0,2,0,1,0,1,0,0,1,2,2,0,1,1,0,2,0
